juris_id,case_citations
94,g.r. no. 142595
94,g.r. no. 60413
94,g.r. no. 127296
94,g.r. no. 129682
94,g.r. no. 167707
94,g.r. no. 134308
94,g.r. no. 169397
94,g.r. no. 154953
95,g.r. no. 167693
95,g.r. no. 182057
95,g.r. no. 177361
95,517 phil. 622
95,496 phil. 231
95,g.r. no. 177756
95,g.r. no. 187742
96,22 b. 5
96,52 phil. 123
96,g.r. no. 181274
96,g.r. no. 148339
96,g.r. no. 95279
97,g.r. no. 152423
97,g.r. no. 160280
97,g.r. no. 160239
97,503 phil. 751
98,341 phil. 696
98,g.r. no. 177147
98,g.r. no. 67690
98,209 phil. 393
98,g.r. no. 74740
98,g.r. no. 133027
98,g.r no. 153794
98,g.r. no. 125923
98,g.r. no. 126145
98,452 phil. 986
98,457 phil. 580
98,g.r. no. 186412
98,g.r. no. 172832
98,g.r. no. 174479
99,481 phil. 31
99,497 phil. 647
99,g.r. no. 122544
99,324 phil. 191
99,521 phil. 330
99,g.r. no. 171176
100,529 phil. 311
100,g.r. no. 182075
100,g.r. no. 171891
100,223 phil. 294
100,34 phil. 562
100,g.r. no. 97412
101,g.r. no. 187478
102,g.r. no. 177121
103,462 phil. 145
103,382 phil. 314
103,493 phil. 547
103,483 phil. 200
104,g.r. no. 172880
104,g.r. no. 180711
104,g.r. no. 131523
104,g.r. no. 121466
104,g.r. no. 162017
104,g.r. no. 173151
104,322 phil. 352
104,479 phi. 459
104,g.r. no. 109390
104,g.r. no. 106256
104,g.r. no. 157202
104,g.r. no. 106370
104,g.r. no. 105892
104,g.r. no. 166109
105,g.r. no. 175816
105,g.r. no. 138145
105,404 phil. 107
105,405 phil. 638
105,256 phil. 979
105,146 phil. 862
105,g.r. no. 58281
105,67 phil. 498
105,g.r. no. 156364
105,g.r. no. 167017
105,g.r. no. 165548
106,492 phil. 482
106,157 phil. 110
107,g.r. no. 115104
107,g.r. no. 146454
107,g.r. no. 169067
107,g.r. no. 154427
108,428 phil. 249
108,g.r. no. 165815
108,172 so. 824
108,gr. no. 163551
109,g.r. no. 167916
109,g.r. no. 153809
109,g.r. no. 180666
109,g.r. no. 184850
109,435 phil. 1
109,108 phil. 283
109,414 phil. 590
109,g.r. no. 155732
109,407 phil. 143
110,g.r. no. 41621
110,g.r. no. 68102
110,g.r. no. 128669
111,g.r. no. 178062
111,g.r. no. 168173
111,g.r. no. 181635
111,g.r. no. 185209
111,456 phil. 14
111,g.r. no. 192789
111,g.r. no. 137884
112,g.r. no. 148267
112,g.r. no. 147623
112,g.r. no. 169548
113,g.r. no. 101949
113,g.r. no. 109125
113,g.r. no. 118585
113,365 phil. 259
113,g.r. no. 171968
113,362 phil. 205
114,g.r. no. 144157
114,g.r. no. 127759
114,g.r. no. 173480
114,g.r. no. 133001
114,g.r. no. 185848
114,g.r. no. 172953
114,g.r. no. 175647
114,g.r. no. 189844
114,g.r. no. 175832
114,g.r. no. 175928
114,g.r. no. 152285
115,g.r. no. 97412
116,g.r. no. 126850
116,g.r. no. 126297
116,g.r. no. 166869
118,319 phil. 246
118,486 phil. 366
118,535 phil. 819
118,497 phil. 738
118,g.r. no. 168533
118,g.r. no. 173226
118,g.r. no. 175055
118,464 phil. 83
118,433 phil. 106
118,g.r. no. 182431
118,g.r. no. 164195
118,g.r. no. 97412
118,g.r. no. 170685
118,g.r. no. 167735
119,g.r. no. 195005
119,g.r. no. 187741
119,g.r. no. 178876
119,g.r. no. 184804
119,g.r. no. 171019
119,407 phil. 250
119,439 phil. 561
119,g.r. no. 186134
119,469 phil. 163
119,g.r. no. 193184
119,g.r. no. 186131
119,g.r. no. 151314
119,g.r. no. 186418
120,g.r. no. 186993
120,g.r. no. 171905
120,404 phil. 981
120,g.r. no. 190487
120,429 phil. 70
120,g.r. no. 196209
120,g.r. no. 158763
120,g.r. no. 164170
122,g.r. no. 19707
122,g.r. no. 158881
122,g.r. no. 140230
122,g.r. no. 153866
122,g.r. no. 166408
123,g.r. no. 195665
123,g.r. no. 123071
123,g.r. no. 139069
123,g.r. no. 182918
123,g.r. no. 178771
123,g.r. no. 172602
123,473 phil. 405
123,445 phil. 407
123,g.r. no. 189301
123,g.r. no. 189281
123,g.r. no. 186538
123,g.r. no. 192465
123,g.r. no. 186528
124,g.r. no. 175512
124,g.r. no. 170414
124,g.r. no. 190521
124,g.r. no. 148974
125,g.r. no. 167693
125,g.r. no. 147678
125,g.r. no. 197042
125,g.r. no. 102007
125,395 phil. 456
125,g.r. no. 186382
126,g.r. no. 125297
126,g.r. no. 134217
126,g.r. no. 140665
126,g.r. no. 160893
126,g.r. no. 141669
126,g.r. no. 119178
126,g.r. no. 153451
126,g.r. no. 139292
127,g.r. no. 170165
127,99 phil. 130
